Title,Complexity,Domain,Keywords,Description
Voice-Controlled Desktop Assistant,Medium,Software Development,"Python, Speech Recognition, Natural Language Processing, Task Automation","Build a desktop assistant that responds to voice commands to perform tasks like opening applications, searching the web, and managing files."
Cross-Platform Mobile Note App,Medium,Mobile Development,"React Native, Firebase, State Management, Offline Synchronization",Create a note-taking application that works across iOS and Android with cloud synchronization and offline capabilities.
Custom Linux Distro,Hard,Systems Programming,"Shell Scripting, Linux Kernel, Package Management, System Configuration","Build a customized Linux distribution focused on a specific use case such as security, minimal footprint, or creative work."
Browser Extension for Productivity,Easy,Web Development,"JavaScript, DOM Manipulation, Browser API, User Settings","Develop a browser extension that enhances productivity with features like website blocking, reading mode, and custom shortcuts."
Python Web Scraper Dashboard,Medium,Data Engineering,"Python, BeautifulSoup, Data Visualization, API Integration",Create a web scraping system that collects data from multiple sources and presents it in a unified dashboard with visualization tools.
Algorithmic Stock Trading System,Hard,Financial Technology,"Python, API Integration, Statistical Analysis, Automated Trading",Develop a system that analyzes stock market data and executes trades based on predefined algorithms and technical indicators.
Interactive Data Structure Visualizer,Medium,Educational Technology,"JavaScript, D3.js, Algorithms, Educational Tools",Build an interactive tool that visualizes common data structures and algorithms in action with step-by-step explanations.
Containerized Microservices Project,Hard,Cloud Computing,"Docker, Kubernetes, API Gateway, Service Mesh",Create a small application decomposed into microservices using container technology with proper orchestration and communication.
Rust-based Command Line Toolkit,Medium,Systems Programming,"Rust, CLI Development, File Manipulation, Performance Optimization",Develop a suite of command-line tools in Rust that provide enhanced alternatives to common Unix utilities with better performance.
Python Text Adventure Game Engine,Medium,Game Development,"Python, Object-Oriented Design, Parser Logic, Game State Management",Create an engine for building interactive fiction and text adventure games with a flexible command parser and state management.
AR Business Card Scanner,Medium,Augmented Reality,"JavaScript, AR.js, OCR, Contact Management",Build an augmented reality application that scans business cards and automatically extracts contact information with visual overlays.
DIY Home Assistant Hub,Medium,IoT,"Python, MQTT, Device Integration, Voice Control",Create a central hub for home automation that integrates various IoT devices and provides a unified interface for control and automation.
Mobile Fitness Coach App,Medium,Mobile Development,"Kotlin, Sensor Integration, Machine Learning, Exercise Recognition","Develop a mobile application that uses device sensors to track exercises, provide real-time feedback, and create personalized workout plans."
2D Physics Game Engine,Hard,Game Development,"C++, Physics Simulation, Collision Detection, Game Mathematics","Build a physics engine for 2D games that simulates realistic movement, collisions, and interactions between game objects."
Self-Hosted Cloud Storage Solution,Medium,Web Development,"JavaScript, Node.js, File Management, Authentication","Create a personal cloud storage application with file encryption, sharing capabilities, and a web-based management interface."
Cryptocurrency Price Alert System,Medium,Financial Technology,"Python, API Integration, Notifications, Market Analysis",Build a system that monitors cryptocurrency prices and sends alerts based on user-defined conditions and technical indicators.
Automated Code Review Tool,Hard,DevOps,"Python, Static Analysis, Code Quality, CI/CD Integration","Develop a tool that automatically analyzes code repositories for common issues, security vulnerabilities, and style violations."
WebAssembly Image Processing Tool,Hard,Web Development,"Rust, WebAssembly, Canvas API, Image Manipulation",Create a browser-based image processing application that uses WebAssembly for high-performance operations like filters and transformations.
Terminal-based Code Editor,Medium,Development Tools,"C++, Text Rendering, File I/O, Syntax Highlighting",Build a lightweight text editor for coding that runs in the terminal with features like syntax highlighting and basic IDE capabilities.
